Light
80 Accy - 1 165
Dread Accy - 1 11
Leg Accy - 1 78

Top/pant/helm - 7 132
Boots/Gloves/Cape - 7 133

7	267
7	135
7	303
7	155
7	269
7	302
7	383
7	392
7	381
7	91
7	789
7	389
7	92
7	81
7	398
7	71
7	68
7	402
7	65
7	791
7	394
7	673
7	396
7	656
7	404
7	55
7	409
7	382
7	397
7	390
7	403
7	58
7	70
7	75
7	7
7	8
7	19

Fury 

80 Accy - 1 157
Dread Accy - 1 23
Leg Accy - 1 99

Top/pant/helm - 7 188
Boots/Gloves/Cape - 7 189

7	15
7	212
7	853
7	17
7	40
7	30
7	472
7	848
7	208
7	137
7	131
7	191
7	367
7	373
7	114
7	473
7	368
7	371
7	597
7	474
7	365
7	684
7	27
7	204
7	377
7	376
7	350
7	379
7	370
7	29
7	113
7	43
7	292
7	206
7	26
7	293
7	372
7	363


??, 41.84, 478 or = 0.0/3.1695
